IHECRE00000294.2	IHECRE00000949.6	IHECRE00004675.3	IHECRE00001892.4	IHECRE00001907.1	IHECRE00004631.3	IHECRE00001966.2	IHECRE00004664.3	IHECRE00003825.5	IHECRE00001888.4	IHECRE00001899.1	IHECRE00000002.3	IHECRE00001854.4	IHECRE00000810.3	IHECRE00001236.5	IHECRE00001973.1	IHECRE00000252.2	IHECRE00003702.4	IHECRE00003848.5	IHECRE00001018.4	IHECRE00000222.3	IHECRE00004705.3	IHECRE00003691.3	IHECRE00000969.7	IHECRE00004897.1	IHECRE00004615.1	IHECRE00001859.4	IHECRE00001954.2	IHECRE00001022.4	IHECRE00003829.4	IHECRE00002067.1	IHECRE00000347.2	IHECRE00001904.1	IHECRE00001964.2	IHECRE00001315.1	IHECRE00000974.7	IHECRE00001914.1	IHECRE00000051.3	IHECRE00000831.3	IHECRE00000332.2	IHECRE00000335.2	IHECRE00000177.3	IHECRE00001916.1	IHECRE00004695.3	IHECRE00003845.2	IHECRE00000348.2	IHECRE00001486.1	IHECRE00004643.3	IHECRE00000353.2	IHECRE00001884.4
ROR1	0.18753520629731	0.476062293181418	3.39678924508004	0.0885611507591704	0.326659615612451	0.178664610470084	0.919381539791715	3.07985215168311	0.000661954533568181	2.93695537379376	1.11163618047281	0.00386291915942761	2.93993062943783	0.00374127319747698	0.395486739733565	0.121287748130193	0.11354589846901	3.48404158830256	0.00375865182003414	0.325978676269906	0.9834926507626	5.44850040221828	0.0892492171760073	0.21132827196086	0.443170989373289	1.45817021397682	2.79220149543843	0.134903444069642	0.181955241473138	0.0964704678347419	0.275870781609899	0.122024429856594	0.719199316342639	0.588987598542811	1.94249410653768	3.8405629690579	0.00121915445007577	0.00400193055749626	0.00316766118067508	0.576644815325188	0.505350934642251	1.24196542358454	0.175567027114561	3.52036151050491	0.318858232920503	0.00132360548055759	0.177494166725325	3.2616943249328	0.0120072009608732	2.65848195840323
CT55	0.00316766118067508	0.000174228010705049	0.000104539331293868	0.00111469585679834	0.00174133399642517	0.000139384091784162	0.0751936219545881	0.00101022969963006	0.000661954533568181	0.000348434983190721	0.131153623354098	0.00386291915942761	0.000243913324001203	0.00374127319747698	0.00497463547875958	0.0278515209660404	0.000174228010705049	0.0315724926927938	0.00375865182003414	0.000174228010705049	3.48472854424441e-05	0.00528715140435753	0.00698744039419684	0.000592289410135369	0.00201975249314262	0.25200077359746	0.0129399891279006	0.00982834696881012	0.00495727149778945	0.00101022969963006	0.0697420110036834	0.00165431719607989	0.00247206798435064	0.00379340843713569	0.000452949070450592	0.0569855612631837	0.00121915445007577	0.00400193055749626	0.00316766118067508	0.001184335759348	0.00466205184144024	0.00466205184144024	0.00151507939781377	0.000487785417075723	0.00243727951927403	0.00132360548055759	0.00299379432086655	0.0577892911117645	0.0120072009608732	0.00170652790609936
RHEX	0.770078284740878	0.0208272582949926	0.191507723322977	1.88420621451837	0.326659615612451	0.595217654949264	0.000139384091784162	0.00101022969963006	2.5739698356842	0.000348434983190721	0.84461465344807	3.13313898518287	0.000243913324001203	0.226463852570366	0.838118688205349	3.48472854424441e-05	2.05339680749467	0.000174228010705049	0.00375865182003414	0.402107861839604	0.384930744148007	0.390590598566376	0.420880067452675	0.26735485366756	0.297368657490345	6.96937291935136e-05	3.48472854424441e-05	1.44167720750471	0.116859740658643	5.59645050507932	3.48472854424441e-05	2.57826201317057	0.294686447529859	0.996572143770806	3.3027605407432	3.48472854424441e-05	0.272758915725615	0.894524895715763	0.00316766118067508	2.21220841131153	1.4751350226621	0.00466205184144024	0.483159946238316	0.000487785417075723	0.00243727951927403	3.95337546963954	2.52722993449959	0.195773620906468	0.764837623836299	0.00170652790609936
CD300LD	0.569970050995565	0	0.000104539331293868	0.00111469585679834	0.00174133399642517	0.000139384091784162	0.000139384091784162	0.00101022969963006	0.000661954533568181	0.000348434983190721	0.000731616293161134	0.00386291915942761	0.000243913324001203	0.00374127319747698	3.48472854424441e-05	3.48472854424441e-05	0.399481551824815	0.000174228010705049	0.675641409411544	0.000174228010705049	3.48472854424441e-05	0.00528715140435753	3.48472854424441e-05	0.00653653857582607	3.48472854424441e-05	6.96937291935136e-05	3.48472854424441e-05	3.48472854424441e-05	3.48472854424441e-05	0.00101022969963006	3.48472854424441e-05	0.00165431719607989	0.00247206798435064	3.48472854424441e-05	0.0528594033338217	3.48472854424441e-05	0.00121915445007577	0.00400193055749626	1.06147568307414	0.001184335759348	0.00466205184144024	0.00466205184144024	0.00151507939781377	0.000487785417075723	0.00243727951927403	0.00132360548055759	0.00299379432086655	0.000452949070450592	2.77978246815246	0.00170652790609936
CFAP36	2.03932491458362	3.27376452305747	1.58397481102649	2.5495620346028	4.15670183395748	3.6532539102306	4.82441121644715	2.6867955183806	2.51208028047601	3.46666494609248	4.10077557373804	3.66522742172447	4.61528009589816	4.81765353268328	5.97957859302723	5.79850169820634	2.17695097391707	3.81980144760625	2.10347331300169	4.61354304101229	5.88528845753267	1.2255700171334	5.94390887280352	4.89371510029287	2.05924491117735	5.16134588376737	4.92336796704764	3.09430951747418	4.52331118228953	3.32851666778885	5.68043036391231	1.68214985186332	3.98486779694845	2.4745896596897	3.41482022925025	2.50501026559592	5.11147087504672	2.8653809410528	2.28867240708738	1.89130177065878	3.19137421056059	3.83699619448136	5.12077905807804	3.4084706632398	4.75746521886246	3.60097728035581	1.60350952429512	2.32910279154078	3.28619902837058	3.0007468543547
MAGEF1	2.03932491458362	4.06975031177635	3.47124716216518	4.44376999085206	2.77522362416295	4.70282748955217	4.1559337823343	4.00881994595122	3.33729051449322	3.18952283211977	5.00093731654523	2.1292511558331	4.21060382293668	2.98459595446098	5.17267051620277	4.22287958468328	2.11404507026574	5.07533626358701	2.15766083571429	2.87241242993975	4.34221942100847	1.51706263473208	4.78052946566868	4.91189417059115	3.29269284927891	4.36650721202484	3.62733615094073	4.23579549585462	3.4302626444196	2.56384195036863	4.00861211909859	4.74150215935818	1.78879665418246	4.32684021905653	2.32225911011988	3.84662170291313	2.41423360011934	2.05903586068984	2.42224925418585	3.96189506112326	2.37916486983084	1.76561673863607	3.00518298695087	3.87873481737184	3.08288438484195	2.95981494591244	4.77744639901865	3.62885528920895	1.40014187856389	2.97102254915284
GABPA	3.71452958147557	3.02904310563573	2.58013382962503	3.06940163819673	2.83647548018399	3.46088815085681	3.12936266664635	2.89753508078426	2.88079671189275	2.25962183166256	2.32614199204168	3.59816436820273	3.22360162767492	4.12384650087637	2.70318738816089	2.39585427455972	3.14404045653225	4.30636069910467	2.94752160948995	3.51051861280587	4.03386132441012	2.10158268496728	3.45361141526336	3.3428103093297	3.60838643806017	3.3561897512941	2.32131813110053	3.24361463039824	2.88686583912697	3.4551564465086	2.28867240708738	4.36587609463625	2.47440469094911	3.41953563471513	3.41262609292363	2.91428257152983	3.11241407119447	3.37068993352691	4.0028057771992	4.39997352395173	4.15165315825785	3.67651925800156	2.83592407425437	2.81621383221092	3.77375685462415	3.90520065404908	3.84295211901354	1.63991441284816	3.98342215159132	3.46371469039953
ASPG	0.18753520629731	2.41292876165446	3.37181472646075	0.00111469585679834	0.154102881312649	1.28465860952119	0.000139384091784162	4.47794006910822	0.377117041181977	0.048788790040944	0.000731616293161134	0.214560335934537	0.000243913324001203	0.572514787247626	0.0678814333426215	0.0161827770509045	0.000174228010705049	0.417335616548479	0.192453402825412	0.700664870365706	0.0827980142652203	0.00528715140435753	0.284708672182326	1.37918831420927	0.223825443595705	0.385544412835592	0.043895605440023	3.48472854424441e-05	3.20662888018549	0.00101022969963006	0.00740353241262331	0.00165431719607989	0.183919888086452	0.00379340843713569	0.0528594033338217	0.0130781286890727	0.0887250058641076	0.00400193055749626	0.210319589035873	0.150967745148539	0.00466205184144024	0.514137510727432	0.536581527199365	0.0543200034406262	0.470866913864574	0.00132360548055759	0.00299379432086655	0.0456691929775224	1.51000175950824	0.00170652790609936
DCTN3	5.27019577428607	4.42324686863469	5.83756425377158	5.04812749311284	5.2580482036172	5.46080902927332	5.29179910048287	6.01301499623392	5.26705715074716	6.13864651122257	4.11865022801788	4.91741215198071	5.94165183756978	4.83647913925391	6.19441571094594	6.10956244392416	4.72597424591279	4.97214763948492	5.21230429149638	6.17977065386404	5.82422732963652	3.66672640851636	6.21650079065392	5.56368649821877	5.03652775453306	4.24064525239767	5.19775895685134	5.09035537403893	5.42292361312012	5.36602312656622	5.66383445314516	4.64080867767411	5.36962747882568	4.86105992687374	3.57876956786735	4.34453178079853	5.28794118538329	5.01193916155977	4.94531433564106	4.94712177041723	4.67657512779598	5.02119860091307	5.26567007706856	4.82285143256611	4.94476114048907	4.53099488173691	4.64033227118862	4.15100893796531	4.48641125007663	5.533575009209
TALDO1	9.17930225182304	5.36891761639273	6.38911950802861	6.89945442022676	8.76077642575499	9.24119078708901	5.86034809536257	5.52738860917048	7.57205081014511	6.14256339755874	6.48555633348013	6.88953526538689	6.87761712133772	4.90284724731224	6.72211750531469	5.60546878188627	7.56347318471465	5.57748939974057	7.09413940910851	6.09025819719873	6.17210327379512	6.59557767538598	6.645536612562	5.84578395383276	6.16134198870114	5.81014004848414	7.95109687712233	6.67207613936149	6.51682290632876	8.6250065129122	5.72284217226051	5.45190431505693	7.8544378030725	7.06860876670729	5.44421267568229	6.69524039776512	5.23183195894706	7.95732429250859	7.62648922058803	5.54105395551325	4.25254751670403	7.39297699299614	5.40071529218603	5.48959513489921	4.09662324272448	7.88952615408383	5.5372983182329	7.18801898661546	8.60380290186636	5.59012197729328
